Provider,Service Type,Corridor,Amount Sent (USD),Base Fee (USD),FX Margin (%),Exchange Rate,FX Cost (USD),Total Cost (USD),Total Cost (%),Amount Received (KES),Transfer Speed,Delivery Speed Days
WorldRemit,Mobile Money,USA → Kenya,200,2.99,1.5,129.0,2.955150000000012,5.945150000000012,2.972575000000006,25079.649879975128,Instant,0.01
Wise,Bank Transfer,USA → Kenya,200,5.21,0.5,129.0,0.97395000000001,6.18395000000001,3.091975000000005,25048.78736666336,1-2 hours,0.08
Remitly,Cash Pickup,USA → Kenya,200,3.99,1.8,129.0,3.5281800000000008,7.518180000000001,3.759090000000001,24876.35147413421,Express,0.5
MoneyGram,Cash Pickup,USA → Kenya,200,4.99,2.0,129.0,3.900200000000021,8.890200000000021,4.445100000000011,24699.031601797484,Minutes,0.02
Paypal,Bank Transfer,USA → Kenya,200,4.99,3.0,129.0,5.850300000000013,10.840300000000012,5.420150000000007,24447.000667085264,Instant,0.01
Western Union,Cash Pickup,USA → Kenya,200,8.0,3.5,129.0,6.720000000000027,14.720000000000027,7.360000000000014,23945.588217773435,Minutes,0.02
