,MAE,RMSE,MAPE,R2
lightgbm,0.2356233714826672,0.33721968857858525,0.18342375951197754,0.21199353292919776
random_forest,0.2406077452783284,0.3352451793556757,0.18743210387637907,0.22119448360392469
linear_regression,0.24310712839072704,0.31105866818078765,0.18942488757694703,0.3295157938091754
voting_ensemble,0.2568091593097723,0.33873967006302985,0.19998865237225238,0.20487381449814734
xgboost,0.2570659413057219,0.37180960618706493,0.2001110382239347,0.04204491291329737
arima,0.4343425162317516,0.5184513337931721,0.3378402181019818,-1.310205040889235
prophet,14.290643769200063,14.308977613083584,11.132969191203054,-1758.753117974376
